ProjectTitle,TissueType,Tissue,ComparisonName,Gene,HumanGene,log2FoldChange,padj,OR,-log10P,enrichment_score
"OSD-98: RR-1, adrenal gland",gland,adrenal gland,Spaceflight vs GroundControl,Timd2,HAVCR1,-7.372749433,,0.006033666063,#NUM!,#DIV/0!
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Havcr1,HAVCR1,-6.024026289,,0.01536693988,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Cdhr2,CDHR2,-5.712432865,,0.01907156618,#NUM!,#DIV/0!
"OSD-326: RR-4, muscle, quadriceps femoris",muscle,"muscle, quadriceps femoris",Spaceflight vs GroundControl,Crtac1,CRTAC1,-5.183197924,,0.02752339173,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnEarth) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Cdhr2,CDHR2,-5.000729324,,0.03123420622,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs Spaceflight (EuthanasiaOnISS) (Age 12wk),Timd2,HAVCR1,-4.514248928,,0.04375983388,#NUM!,#DIV/0!
"OSD-288: MHU-1, spleen",spleen,spleen,Spaceflight (uG) vs GroundControl (1G),Gfap,GFAP,-4.136885012,,0.05684254611,#NUM!,#DIV/0!
"OSD-580: RR-17, heart",heart,heart,BasalControl (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Cdhr2,CDHR2,-3.914710065,,0.06630630794,#NUM!,#DIV/0!
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow+FOS) vs Spaceflight (1G centrifugation) (chow+FOS),Timd2,HAVCR1,-3.673828686,,0.07835511758,#NUM!,#DIV/0!
"OSD-48: RR-1, liver",liver,liver,Spaceflight (FrozenCarcass) vs Spaceflight (FreshDissection),Havcr1,HAVCR1,-3.652139835,,0.07954197339,#NUM!,#DIV/0!
