ProjectTitle,TissueType,Tissue,ComparisonName,Gene,HumanGene,log2FoldChange,padj,OR,-log10P,enrichment_score
"OSD-457: JAXA, adipose tissue, brown",adipose,"adipose tissue, brown",Wildtype Spaceflight vs Wildtype GroundControl,Bcan,BCAN,-37.41007062,1.68E-176,0,175.7753345,5.96E+175
"OSD-457: JAXA, liver",liver,liver,Wildtype Spaceflight vs Wildtype GroundControl,Bcan,BCAN,-35.51977845,1.06E-158,0,157.9745581,9.43E+157
"OSD-457: JAXA, liver",liver,liver,Nrf2KO GroundControl vs Wildtype GroundControl,Bcan,BCAN,-35.14383086,1.79E-155,0,154.7464311,5.58E+154
"OSD-48: RR-1, liver",liver,liver,Spaceflight (FrozenCarcass) vs Spaceflight (FreshDissection),Bcan,BCAN,-8.712440289,0.1358435235,0.002383933505,0.8669610622,7.343861824
"OSD-457: JAXA, adipose tissue, brown",adipose,"adipose tissue, brown",Nrf2KO GroundControl vs Wildtype GroundControl,Bcan,BCAN,-7.410165327,0.000002380431392,0.005879196337,5.623344331,417622.1198
"OSD-246: RR-6, spleen",spleen,spleen,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Bcan,BCAN,-5.153019803,,0.02810518646,#NUM!,#DIV/0!
"OSD-47: RR-1, liver",liver,liver,Spaceflight vs GroundControl,Bcan,BCAN,-4.076214665,,0.05928394791,#NUM!,#DIV/0!
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 25d vs GroundControl 25d, C3H/HeJ",Fasl,FASLG,-3.422096244,0.1757627469,0.09329242509,0.7550731686,5.158701663
"OSD-326: RR-4, muscle, quadriceps femoris",muscle,"muscle, quadriceps femoris",Spaceflight vs GroundControl,Fasl,FASLG,-3.10322221,,0.1163689275,#NUM!,#DIV/0!
"OSD-164: RR-1, liver",liver,liver,Spaceflight vs GroundControl,Bcan,BCAN,-2.693709552,0.9882723183,0.1545655221,0.005123369153,0.8554671241
"OSD-352: RR-3, brain",brain,brain,Spaceflight vs GroundControl,Fasl,FASLG,-2.612270393,0.9999854557,0.1635416047,0.00000631654848,0.8364705611
"OSD-419: RR-1, muscle, gastrocnemius",muscle,"muscle, gastrocnemius",Spaceflight vs GroundControl,Robo1,ROBO1,-2.609186943,0.9879213459,0.1638915135,0.005277630708,0.8463310262
"OSD-457: JAXA, kidney",kidney,kidney,Nrf2KO GroundControl vs Wildtype GroundControl,Bcan,BCAN,-2.398096109,1,0.1897147678,0,0.8102852322
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","VivariumControl 25d vs GroundControl 25d, C3H/HeJ",Fasl,FASLG,-2.212162138,0.9656394246,0.2158106343,0.01518501141,0.8120933608
